Name,Lat,Long,Temp,Humidity,Cloudiness,Windspeed,Country,Datetime
Rikitea,-23.1203,-134.9692,78.13,70,7,4.38,PF,1618808334
Kenai,60.5544,-151.2583,48.2,53,75,9.22,US,1618808792
Jamestown,42.097,-79.2353,44.01,81,75,8.05,US,1618808318
Saint-Joseph,-21.3667,55.6167,77.0,83,90,14.97,RE,1618808575
Vaini,-21.2,-175.2,82.4,74,20,6.91,TO,1618808309
West Des Moines,41.572,-93.7453,52.0,49,20,9.22,US,1618808793
Katsuura,35.1333,140.3,71.01,28,20,10.36,JP,1618808359
Ushuaia,-54.8,-68.3,50.0,76,90,13.8,AR,1618808317
San Quintín,30.4833,-115.95,61.27,66,0,1.52,MX,1618808400
Los Llanos de Aridane,28.6585,-17.9182,64.4,68,0,10.36,ES,1618808308
Umm Kaddadah,13.6017,26.6876,78.57,7,32,8.77,SD,1618808383
Castro,-24.7911,-50.0119,55.17,95,40,6.04,BR,1618808326
Jieshi,22.8134,115.8257,73.04,57,75,14.14,CN,1618808794
Hasaki,35.7333,140.8333,72.0,24,20,13.8,JP,1618808359
Tuensang,26.2833,94.8333,78.94,40,65,5.53,IN,1618808795
Talcahuano,-36.7167,-73.1167,57.2,82,90,4.61,CL,1618808795
Mar del Plata,-38.0023,-57.5575,64.99,94,0,4.61,AR,1618808319
Bambous Virieux,-20.3428,57.7575,82.99,89,75,10.36,MU,1618808323
Meulaboh,4.1363,96.1285,83.86,64,92,2.53,ID,1618808415
Sikonge,-5.6333,32.7667,62.6,94,20,5.26,TZ,1618808796
Ponta do Sol,32.6667,-17.1,57.0,74,4,3.0,PT,1618808347
Punta Arenas,-53.15,-70.9167,46.4,87,0,4.61,CL,1618808320
Cape Town,-33.9258,18.4232,64.4,88,0,26.46,ZA,1618808313
Evensk,61.95,159.2333,33.21,98,100,3.29,RU,1618808404
Laas,46.6166,10.7002,39.0,100,20,5.75,IT,1618808597
Saskylakh,71.9167,114.0833,9.86,85,96,11.72,RU,1618808346
Amapá,1.0,-52.0,70.14,99,100,1.54,BR,1618808797
Hilo,19.7297,-155.09,75.2,73,40,6.91,US,1618808315
Ayan,56.45,138.1667,31.57,97,100,14.45,RU,1618808798
East London,-33.0153,27.9116,69.8,35,0,12.66,ZA,1618808117
Mahébourg,-20.4081,57.7,78.8,89,75,10.36,MU,1618808344
Tevaitoa,-16.7833,-151.5,82.6,72,5,13.4,PF,1618808798
Hithadhoo,-0.6,73.0833,82.69,67,82,5.3,MV,1618808331
Kamaishi,39.2667,141.8833,55.4,50,75,10.36,JP,1618808597
Saint Paul Harbor,57.79,-152.4072,48.2,66,20,11.5,US,1618808318
Hermanus,-34.4187,19.2345,63.0,91,100,3.0,ZA,1618808321
Harper,4.375,-7.7169,80.28,82,100,6.04,LR,1618808316
Mataura,-46.1927,168.8643,60.01,78,37,5.99,NZ,1618808308
Pisco,-13.7,-76.2167,66.2,82,0,3.44,PE,1618808353
Ugoofaaru,5.6667,73.0,84.13,68,57,9.51,MV,1618808801
Palora,-1.7,-77.9333,65.55,96,95,2.68,EC,1618808801
Hobart,-42.8794,147.3294,66.2,34,75,27.63,AU,1618808309
Cabo San Lucas,22.8909,-109.9124,69.8,73,1,14.72,MX,1618808329
São João da Barra,-21.6403,-41.0511,72.68,87,55,10.09,BR,1618808371
Yellowknife,62.456,-114.3525,35.6,60,40,4.61,CA,1618808191
Taltal,-25.4,-70.4833,61.43,87,17,0.96,CL,1618808802
Dikson,73.5069,80.5464,3.61,97,100,10.47,RU,1618808336
Arraial do Cabo,-22.9661,-42.0278,74.79,82,93,14.58,BR,1618808398
Arlit,18.7369,7.3853,80.83,7,77,5.12,NE,1618808802
Nikolskoye,59.7035,30.7861,43.0,61,0,6.71,RU,1618808321
Tasiilaq,65.6145,-37.6368,15.8,62,0,11.5,GL,1618808333
Maiduguri,11.8464,13.1603,79.72,10,75,5.68,NG,1618808803
Asău,46.4333,26.4,42.01,66,100,0.43,RO,1618808547
Vrangel',42.7297,133.0839,47.32,58,0,14.12,RU,1618808804
Pozo Colorado,-23.4923,-58.7972,68.74,66,0,6.06,PY,1618808804
Manjacaze,-24.7117,33.8828,61.84,82,0,2.39,MZ,1618808804
Winnemucca,40.973,-117.7357,48.2,27,1,8.05,US,1618808437
Rundu,-17.9333,19.7667,54.95,57,0,6.2,NA,1618808804
Thompson,55.7435,-97.8558,23.0,58,40,6.91,CA,1618808313
Puerto Ayora,-0.7393,-90.3518,75.0,97,100,4.63,EC,1618808308
Avarua,-21.2078,-159.775,80.6,78,75,13.8,CK,1618808318
New Norfolk,-42.7826,147.0587,66.0,60,91,8.99,AU,1618808312
Sulangan,11.1373,123.7228,83.32,72,100,16.2,PH,1618808805
Tuatapere,-46.1333,167.6833,60.01,78,88,5.99,NZ,1618808376
Atuona,-9.8,-139.0333,80.15,80,21,19.04,PF,1618808315
Lebu,-37.6167,-73.65,55.85,88,54,11.7,CL,1618808322
Benito Juarez,19.385,-99.165,68.0,10,1,5.75,MX,1618808806
Road Town,18.4167,-64.6167,79.0,87,0,5.01,VG,1618808807
Busselton,-33.65,115.3333,68.0,74,63,1.01,AU,1618808310
Bengkulu,-3.8004,102.2655,84.13,66,20,7.52,ID,1618808422
Hong Kong,22.2855,114.1577,77.0,50,20,20.71,HK,1618808378
Ahipara,-35.1667,173.1667,63.16,60,95,7.85,NZ,1618808321
Markdale,44.3168,-80.6497,39.0,71,20,1.99,CA,1618808808
Naze,28.3667,129.4833,73.4,49,20,14.97,JP,1618808577
Chicama,-7.8447,-79.1469,69.75,79,93,5.44,PE,1618808808
Albany,42.6001,-73.9662,46.0,88,78,3.78,US,1618808318
Saint George,37.1041,-113.5841,64.4,13,1,6.91,US,1618808314
Bluff,-46.6,168.3333,60.01,78,79,5.99,NZ,1618808309
Saint-Augustin,51.226,-58.6502,37.98,92,100,20.8,CA,1618808337
Vilhena,-12.7406,-60.1458,67.78,96,100,1.45,BR,1618808810
Fortuna,40.5982,-124.1573,50.0,100,90,5.75,US,1618808361
Damoh,23.8333,79.45,97.25,12,16,1.88,IN,1618808810
Kiunga,-6.1219,141.2906,87.85,61,81,4.23,PG,1618808351
Itupiranga,-5.1347,-49.3267,72.18,97,95,2.42,BR,1618808399
Medina del Campo,41.3124,-4.9141,44.6,70,0,4.61,ES,1618808811
Kapaa,22.0752,-159.319,75.2,64,75,11.5,US,1618808331
Port Alfred,-33.5906,26.891,70.99,72,3,22.75,ZA,1618808342
Bredasdorp,-34.5322,20.0403,62.6,88,100,8.05,ZA,1618808318
Pontianak,-0.0333,109.3333,87.8,70,75,8.05,ID,1618808612
Podgorenskiy,50.405,39.6429,50.76,59,87,4.94,RU,1618808813
Beloha,-25.1667,45.05,66.92,68,0,12.95,MG,1618808335
Saint-Philippe,-21.3585,55.7679,77.0,83,90,14.97,RE,1618808326
Flinders,-34.5833,150.8552,75.0,53,7,4.0,AU,1618808325
Ribeira Grande,38.5167,-28.7,61.45,88,74,9.24,PT,1618808373
Padang,-0.9492,100.3543,84.99,67,12,5.77,ID,1618808051
